org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
tumblr,colossus,https://github.com/tumblr/colossus/pull/193,193,DanSimon,2015-04-28T18:08:53Z,2015-05-06T15:42:27Z,19,4,363,59,0,,,189.56,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/196,196,wolfapple,2015-05-04T09:36:12Z,2015-05-04T21:48:24Z,2,2,4,2,0,,,12.2,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/197,197,DanSimon,2015-05-06T11:13:39Z,2015-05-06T15:42:39Z,4,1,77,30,0,,,4.48,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/198,198,nsauro,2015-05-08T15:29:41Z,2015-05-08T16:39:39Z,2,1,91,1,0,,,1.17,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/200,200,DanSimon,2015-05-12T20:04:37Z,2015-05-13T03:03:37Z,3,1,35,2,0,,,6.98,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/204,204,DanSimon,2015-06-02T14:56:35Z,2015-06-02T20:15:41Z,7,3,71,86,0,,,5.32,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/205,205,DanSimon,2015-06-02T18:24:25Z,2015-06-02T19:27:02Z,1,1,2,1,0,,,1.04,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/206,206,DanSimon,2015-06-02T19:49:27Z,2015-06-02T20:15:48Z,2,1,23,5,0,,,0.44,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/207,207,DanSimon,2015-06-03T15:21:21Z,2015-06-03T15:34:57Z,1,1,2,2,0,,,0.23,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/208,208,DanSimon,2015-06-04T15:45:32Z,2015-06-04T19:46:06Z,3,1,10,14,0,,,4.01,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/213,213,zgagnon,2015-06-12T20:05:33Z,2015-06-15T14:13:37Z,2,5,33,16,0,,,66.13,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/214,214,DanSimon,2015-06-13T02:12:58Z,2015-06-16T18:20:02Z,2,1,56,16,0,,,88.12,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/217,217,DanSimon,2015-06-15T02:51:48Z,2015-06-15T14:27:23Z,17,11,581,207,0,,,11.59,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/218,218,chieni,2015-06-16T19:33:39Z,2015-06-16T20:10:05Z,1,1,1,1,0,,,0.61,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/219,219,DanSimon,2015-06-16T22:10:36Z,2015-06-19T17:21:30Z,4,2,25,2,0,,,67.18,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/220,220,nsauro,2015-06-18T22:28:27Z,2015-06-19T17:23:14Z,6,1,88,88,0,,,18.91,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/221,221,dangermike,2015-06-24T16:27:13Z,2015-06-24T17:37:00Z,2,1,10,1,0,,,1.16,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/222,222,jeffreythewang,2015-06-30T22:12:03Z,2015-07-07T02:24:35Z,3,1,13,3,0,,,148.21,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/223,223,amotamed,2015-07-06T21:14:54Z,2015-07-07T02:25:59Z,2,1,4,3,0,,,5.18,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/224,224,DanSimon,2015-07-07T02:27:42Z,2015-07-08T14:36:42Z,25,22,694,297,0,,,36.15,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/225,225,aliyakamercan,2015-07-10T21:31:51Z,2015-07-13T14:17:12Z,1,1,5,0,0,,,64.76,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/226,226,DanSimon,2015-07-13T04:19:55Z,2015-07-13T14:51:58Z,5,2,32,36,0,,,10.53,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/227,227,DanSimon,2015-07-13T14:45:04Z,2015-07-13T18:28:13Z,2,1,20,0,0,,,3.72,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/228,228,DanSimon,2015-07-13T20:25:41Z,2015-07-13T21:10:08Z,3,1,33,7,0,,,0.74,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/230,230,nsauro,2015-07-14T17:20:16Z,2015-07-14T21:07:12Z,5,1,24,21,0,,,3.78,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/231,231,DanSimon,2015-07-14T17:43:28Z,2015-07-16T14:24:17Z,3,2,60,19,0,,,44.68,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/232,232,aliyakamercan,2015-07-20T16:10:13Z,2015-07-21T16:07:13Z,3,1,20,7,0,,,23.95,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/233,233,aliyakamercan,2015-07-27T14:07:54Z,2015-07-27T17:42:36Z,4,5,38,8,0,,,3.58,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/234,234,aliyakamercan,2015-07-27T19:53:51Z,2015-07-28T14:29:09Z,4,5,9,2,0,,,18.59,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/235,235,aliyakamercan,2015-07-27T21:41:27Z,2015-07-27T21:52:25Z,1,1,1,1,0,,,0.18,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/236,236,benblack86,2015-07-29T20:59:07Z,2015-08-03T18:24:22Z,2,2,20,1,0,,,117.42,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/237,237,DanSimon,2015-07-30T14:10:49Z,2015-07-30T15:17:26Z,1,1,1,2,0,,,1.11,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/239,239,aliyakamercan,2015-08-03T18:18:31Z,2015-08-04T20:22:53Z,2,1,42,18,0,,,26.07,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/240,240,DanSimon,2015-08-05T02:50:44Z,2015-08-06T14:38:33Z,2,1,25,12,0,,,35.8,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/241,241,DanSimon,2015-08-06T21:18:30Z,2015-08-10T22:14:25Z,1,1,2,2,0,,,96.93,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/242,242,DanSimon,2015-08-10T22:13:45Z,2015-08-11T19:45:56Z,4,3,95,42,0,,,21.54,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/243,243,nsauro,2015-08-11T20:20:26Z,2015-09-11T12:31:35Z,16,1,2219,493,0,,,736.19,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/244,244,DanSimon,2015-08-12T03:06:47Z,2015-08-12T18:27:20Z,1,1,1,1,0,,,15.34,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/245,245,DanSimon,2015-08-18T18:34:00Z,2015-08-18T19:18:53Z,2,1,65,32,0,,,0.75,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/248,248,nsauro,2015-08-19T20:03:26Z,2015-08-20T16:24:05Z,1,1,1,2,0,,,20.34,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/249,249,DanSimon,2015-08-24T18:08:27Z,2015-08-26T18:33:34Z,9,2,62,23,0,,,48.42,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/250,250,DanSimon,2015-08-24T18:15:04Z,2015-08-28T14:46:47Z,4,1,156,18,0,,,92.53,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/253,253,nsauro,2015-09-02T14:50:27Z,2015-09-11T12:29:13Z,1,1,2,2,0,,,213.65,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/256,256,aliyakamercan,2015-09-11T18:12:02Z,2015-09-29T17:46:51Z,1,2,6,6,0,,,431.58,0,0
