org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/62",62,"vijetmahabaleshwar-okta","2018-07-20T22:23:29Z","2018-07-22T02:22:36Z","master","vm-integration-tests",59,1,118,59,2,"2018-07-20T22:54:56Z","jmelberg-okta,robertjd",27.99,0.52,31.45
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/63",63,"vijetmahabaleshwar-okta","2018-07-23T17:49:08Z","2018-07-24T18:53:28Z","master","vm-slack-notifications",4,1,74,6,7,"2018-07-24T00:43:57Z","jmelberg-okta,vijetmahabaleshwar-okta,robertjd",25.07,6.91,414.82
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/64",64,"vijetmahabaleshwar-okta","2018-07-25T02:46:33Z","2018-07-25T16:13:19Z","master","vm-revert-junit-reporter",3,1,1,62,1,"2018-07-25T16:03:17Z","robertdamphousse-okta",13.45,13.28,796.73
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/65",65,"robertjd","2018-07-25T16:49:40Z","2018-07-25T17:13:23Z","master","rd-changelog-1.2.0",1,1,4,0,3,"2018-07-25T17:06:49Z","jmelberg-okta,robertjd",0.4,0.29,17.15
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/66",66,"vijetmahabaleshwar-okta","2018-07-30T21:39:38Z","2018-08-01T14:42:33Z","master","vm-enable-its",3,3,19,3,8,"2018-07-31T18:28:18Z","vijetmahabaleshwar-okta,jmelberg-okta",41.05,20.81,1248.67
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/67",67,"vijetmahabaleshwar-okta","2018-07-31T22:01:12Z","2018-07-31T22:07:17Z","master","vm-update-its",34,1,37,358,1,"2018-07-31T22:03:38Z","jmelberg-okta",0.1,0.04,2.43
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/70",70,"vijetmahabaleshwar-okta","2018-08-02T18:17:55Z","2018-08-06T20:30:25Z","master","vm-update-test",11,2,29,36,1,"2018-08-02T19:55:24Z","robertjd",98.21,1.62,97.48
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/71",71,"vijetmahabaleshwar-okta","2018-08-14T22:22:58Z","2018-08-14T22:32:49Z","master","vm-enable-test",2,1,12,14,1,"2018-08-14T22:32:11Z","jmelberg-okta",0.16,0.15,9.22
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/72",72,"vijetmahabaleshwar-okta","2018-08-14T22:41:02Z","2018-08-14T22:47:23Z","master","vm-update-tests",2,1,3,3,1,"2018-08-14T22:46:54Z","jmelberg-okta",0.11,0.1,5.87
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/73",73,"vijetmahabaleshwar-okta","2018-08-29T21:50:25Z","2018-08-30T21:31:43Z","master","vm-update-tests",34,4,68,37,2,"2018-08-30T19:46:02Z","jmelberg-okta,robertjd",23.69,21.93,1315.62
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/80",80,"vijetmahabaleshwar-okta","2018-10-22T18:59:09Z","2018-10-22T22:54:43Z","master","vm-fix-test",1,1,9,8,1,"2018-10-22T22:53:49Z","robertjd",3.93,3.91,234.67
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/85",85,"vijetmahabaleshwar-okta","2019-01-10T19:47:36Z","2019-01-10T20:25:50Z","master","vm-update-twilio-number",2,1,2,2,1,"2019-01-10T19:50:52Z","robertjd",0.64,0.05,3.27
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/89",89,"aarongranick-okta","2019-03-21T23:43:41Z","2019-04-02T21:33:02Z","master","github-issue-45",6,6,1717,1510,2,"2019-04-02T19:37:20Z","swiftone,robertjd",285.82,283.89,17033.65
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/93",93,"robertjd","2019-04-02T21:01:20Z","2019-04-02T22:12:53Z","master","lb-async-iterators",2,1,14,0,1,"2019-04-02T21:40:57Z","aarongranick-okta",1.19,0.66,39.62
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/94",94,"robertjd","2019-04-02T21:09:36Z","2019-04-02T22:02:06Z","master","robroseknows-deps-update",2,1,1543,1185,1,"2019-04-02T21:41:15Z","aarongranick-okta",0.88,0.53,31.65
