org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/147",147,"bdemers","2018-01-18T16:06:28Z","2018-01-31T21:41:19Z","master","issue-146",2,1,29,0,2,"2018-01-31T21:23:10Z","jmelberg-okta,bdemers",317.58,317.28,19036.7
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/148",148,"mraible","2018-01-23T03:58:45Z","2018-01-23T15:09:13Z","master","javadocs-link",1,1,4,0,1,"2018-01-23T15:09:00Z","bdemers",11.17,11.17,670.25
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/150",150,"bdemers","2018-01-26T17:01:29Z","2018-01-26T19:26:19Z","master","bump-version-dot11",9,1,16,16,1,"2018-01-26T19:25:30Z","vijetmahabaleshwar-okta",2.41,2.4,144.02
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/151",151,"bdemers","2018-01-26T19:31:52Z","2018-01-26T21:56:25Z","master","href-resolver",6,2,431,42,9,"2018-01-26T20:34:57Z","vijetmahabaleshwar-okta,bdemers",2.41,1.05,63.08
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/152",152,"bdemers","2018-01-26T19:56:32Z","2018-01-29T20:01:24Z","master","code-health2",13,1,75,53,1,"2018-01-29T19:59:47Z","vijetmahabaleshwar-okta",72.08,72.05,4323.25
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/153",153,"bdemers","2018-01-26T22:01:59Z","2018-01-31T18:33:54Z","master","cacheing2",24,1,1024,405,2,"2018-01-31T15:36:08Z","bretterer,robertjd",116.53,113.57,6814.15
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/155",155,"bdemers","2018-01-31T20:16:53Z","2018-01-31T21:43:06Z","master","no-string-for-marsheller",5,1,50,67,2,"2018-01-31T21:19:05Z","jmelberg-okta,bdemers",1.44,1.04,62.2
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/156",156,"bdemers","2018-01-31T20:21:30Z","2018-01-31T21:46:14Z","master","javadoc-fixes",9,1,27,32,2,"2018-01-31T21:14:04Z","jmelberg-okta,bdemers",1.41,0.88,52.57
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/157",157,"bdemers","2018-01-31T20:31:18Z","2018-01-31T21:47:20Z","master","dead-code1",19,1,2,661,1,"2018-01-31T21:24:38Z","jmelberg-okta",1.27,0.89,53.33
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/158",158,"bdemers","2018-01-31T21:51:30Z","2018-02-01T15:09:16Z","master","code-cleanup1",10,1,31,43,1,"2018-01-31T22:43:56Z","jmelberg-okta",17.3,0.87,52.43
